abbigliamento,contenitori stradali gialli CARITAS
accendino (scarico),secco indifferenziato
agenda telefonica (in carta),carta e cartone
alimento scaduto/deteriorato,umido
amianto,ditta specializzata
antenna,elettrodomestici RAEE
appendiabiti,secco indifferenziato
apriscatole in metallo,vetro e alluminio
asse da stiro,ingombranti
assorbente igienico,secco indifferenziato
,
barattolo vetro/alluminio,vetro e alluminio
batteria auto,piazzola ecologica
benda/garza,secco indifferenziato
biancheria,contenitori stradali gialli CARITAS
bicchiere di vetro,vetro e alluminio
bicchiere monouso,secco indifferenziato
bicicletta,ingombranti
bilancia,ingombranti
biscotto avariato,umido
blister,secco indifferenziato
boccetta in vetro,vetro e alluminio
bombola del gas,rivenditore autorizzato
bomboletta spray,vetro e alluminio
borsetta in tessuto,secco indifferenziato
bottiglia di plastica,plastica
bottiglia in vetro,vetro e alluminio
bottone,secco indifferenziato
brace (spenta),umido
buccia frutta/verdura,umido
buste in plastica,secco indifferenziato
,
caffè (cialda in plastica) ,secco indifferenziato
caffè (fondo),umido
caffettiera,ingombranti
calze,secco indifferenziato
candela,secco indifferenziato
capelli,umido
carne avariata,umido
carta carbone,secco indifferenziato
carta da forno,secco indifferenziato
carta plastificata/adesiva,secco indifferenziato
carta stagnola,vetro e alluminio
carta vetrata,secco indifferenziato
carton gesso,piazzola ecologica
cartone unto,secco indifferenziato
cassetta audio/video,secco indifferenziato
cassetta in legno,legno e ferro
cassetta in plastica,plastica
CD,secco indifferenziato
cellophane,secco indifferenziato
cellophane merendine,secco indifferenziato
cellulare,elettrodomestici RAEE
cenere,umido
cerotto,ditta specializzata
combustibili vari,ditta specializzata
computer,elettrodomestici RAEE
contenitore in plastica,ingombranti
cosmetico,secco indifferenziato
cotone idrofilo,secco indifferenziato
cristallo auto,ditta specializzata
crostaceo,umido
cucina a gas,elettrodomestici RAEE
cuoio,secco indifferenziato
custodia in plastica,secco indifferenziato
,
damigiana,ingombranti
dentifricio,secco indifferenziato
diserbante,ditta specializzata
divano,ingombranti
,
elastico,secco indifferenziato
elettrodomestico,elettrodomestici RAEE
erba,piazzola ecologica
escrementi (in piccole quantità),umido
eternit,ditta specializzata
etichetta adesiva,secco indifferenziato
,
farmaco scaduto,contenitore c/o ambulatori medici
fazzoletto igene personale bianco,umido
fiammifero,umido
filo elettrico,piazzola ecologica
fiore finto,secco indifferenziato
fiore reciso,umido e/o piazzola ecologica
fitofarmaco,ditta specializzata
flacone vuoto in plastica,plastica
floppy disk,secco indifferenziato
foglie,umido e/o piazzola ecologica
forbici in metallo,legno e ferro
fotografia,secco indifferenziato
friggitrice (senza olio),elettrodomestici RAEE
frigorifero,elettrodomestici RAEE
frullatore,elettrodomestici RAEE
frutta,umido
,
garza,secco indifferenziato
giocattolo (grandi dimensioni),ingombranti
giocattolo (piccole dimensioni),secco indifferenziato
giornale,carta e cartone
gomma (tutti i tipi),secco indifferenziato
guanti usa e getta,secco indifferenziato
gusci (frutta secca e uova),umido
,
inerti,piazzola ecologica
"infuso (the, camomilla, tisana)",umido
insetticida,ditta specializzata
involucro per alimenti,secco indifferenziato
,
lacca per capelli,secco indifferenziato
laccio per capelli,secco indifferenziato
lametta (protetta),secco indifferenziato
lampadario,ingombranti
lampadina,contenitore c/o palestra o piazzola ecologica
lastra in vetro,piazzola ecologica
lastra medica,ditta specializzata
lavastoviglie,elettrodomestici RAEE
lavatrice,elettrodomestici RAEE
lettiera (naturale),umido
lettiera (sintetica),secco indifferenziato
libro,carta e cartone
lisca di pesce,umido
lucido scarpe,secco indifferenziato
,
materasso,ingombranti
medicinale scaduto,contenitore c/o ambulatori medici
mensola in legno,legno e ferro
mobile smontato (non legno o ferro),ingombranti e/o piazzola ecologica
molletta,secco indifferenziato
monitor,elettrodomestici RAEE
mouse PC,elettrodomestici RAEE
mozzicone di sigaretta,secco indifferenziato
musicassetta,secco indifferenziato
,
nastro adesivo,secco indifferenziato
negativo fotografico,secco indifferenziato
neon,contenitore c/o palestra o piazzola ecologica
nocciolo frutta,umido
nylon,secco indifferenziato
,
occhiali (lenti),vetro e alluminio
occhiali (montatura),secco indifferenziato
oggetti di cancelleria,secco indifferenziato
olio minerale,piazzola ecologica
olio vegetale,olio domestico
ombrello,secco indifferenziato e/o ingombranti
orecchini e accessori,secco indifferenziato
ortaggio,umido
ossa,umido
ovatta,secco indifferenziato
,
padella in metallo,legno e ferro
pallets,legno e ferro
pallone da gioco,secco indifferenziato
pane,umido
panno elettrostatico per polvere,secco indifferenziato
pannolino,secco indifferenziato
pasta abrasiva,piazzola ecologica
pasta alimentare,umido
pellicola fotografica,secco indifferenziato
pellicola trasparente per alimenti,secco indifferenziato
pelo,umido
peluche,secco indifferenziato
penna/pennarello,secco indifferenziato
